VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,LocationID,Borough,Zone,service_zone,pickup_date
1,2022-03-11T20:08:32.000+02:00,2022-03-11T20:09:45.000+02:00,1.0,0.0,1.0,N,265,265,1,2.5,1.0,0.5,48.0,235.7,0.3,288.0,0.0,0.0,265,Unknown,NA,N/A,2022-03-11
1,2022-05-21T16:47:48.000+03:00,2022-05-21T17:05:47.000+03:00,1.0,2.4,3.0,N,239,246,3,31.5,0.0,0.0,0.0,813.75,0.3,845.55,0.0,0.0,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,2022-05-21
