VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,LocationID,Borough,Zone,service_zone,pickup_date
1,2022-04-29T04:31:21.000+03:00,2022-04-29T04:32:30.000+03:00,2.0,0.0,1.0,N,249,249,3,3.0,3.0,0.5,0.0,911.87,0.3,918.67,2.5,0.0,249,Manhattan,West Village,Yellow Zone,2022-04-29
1,2022-06-12T16:51:46.000+03:00,2022-06-12T17:56:48.000+03:00,9.0,22.0,1.0,N,142,132,2,67.5,2.5,0.5,0.0,800.09,0.3,870.89,2.5,0.0,132,Queens,JFK Airport,Airports,2022-06-12
